RB_ID,KO_Name,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
410902,Schäfer,,,Dr.,,,SPD,Tübingen
410904,Barzel,,,Dr.,,,CDU/CSU,
410906,Barzel,,,Dr.,,,CDU/CSU,
410923,Gölter,,,Dr.,,,CDU/CSU,
410933,Barzel,,,Dr.,,,CDU/CSU,
410953,Windelen,,,,,,CDU/CSU,
410959,Mattick,,,,,,SPD,
410963,Jenninger,,,Dr.,,,CDU/CSU,
410972,Marx,,,Dr.,,,CDU/CSU,
410988,Weizsäcker,,,Dr.,von,,CDU/CSU,
410997,Hupka,,,Dr.,,,CDU/CSU,
411001,Weizsäcker,,,Dr.,von,,CDU/CSU,
411005,Czaja,,,Dr.,,,CDU/CSU,
411009,Marx,,,Dr.,,,CDU/CSU,
411019,Marx,,,Dr.,,,CDU/CSU,
411030,Marx,,,Dr.,,,CDU/CSU,
411030,Zurufe  CDU/CSU,,,,von der,,CDU/CSU,
411030,Hört! Hört! und weitere Zurufe  SPD,,,,von der,,SPD,
411032,Marx,,,Dr.,,,CDU/CSU,
411040,Reuschenbach,,,,,,SPD,
411044,Marx,,,Dr.,,,CDU/CSU,
411046,Czaja,,,Dr.,,,CDU/CSU,
411051,Marx,,,Dr.,,,CDU/CSU,
411051,Mertes,,,Dr.,,,CDU/CSU,Gerolstein
411055,Marx,,,Dr.,,,CDU/CSU,
411055,Mertes,,,Dr.,,,CDU/CSU,Gerolstein
411077,Mertes,,,Dr.,,,CDU/CSU,Gerolstein
411079,Marx,,,Dr.,,,CDU/CSU,
411088,Sauer,,,,,,CDU/CSU,Salzgitter
411100,Franke,,,,,,CDU/CSU,
411102,Franke,,,,,,CDU/CSU,
411110,Franke,,,,,,CDU/CSU,
411122,Müller,,,,,,CDU/CSU,Berlin
411132,Russe,,,,,,CDU/CSU,
411134,Franke,,,,,,CDU/CSU,
411138,Katzer,,,,,,CDU/CSU,
411147,Wehner,,,,,,SPD,
411149,Hammans,,,Dr.,,,CDU/CSU,Hamm
411185,Wehner,,,,,,SPD,
411187,Konrad,,,,,,SPD,
411190,Ministerpräsident  Stoltenberg,,,Dr.,,,,Schleswig
411193,Ministerpräsident  Stoltenberg,,,Dr.,,,,Schleswig
411195,Kohl,,,Dr.,,,CDU/CSU,
411201,Jenninger,,,Dr.,,,CDU/CSU,
411213,Reuschenbach,,,,,,SPD,
411217,Waffenschmidt,,,Dr.,,,CDU/CSU,
411219,Kohl,,,Dr.,,,CDU/CSU,
411233,Wörner,,,Dr.,,,CDU/CSU,
411242,Vogel,,,,,,CDU/CSU,Ennepetal
411243,Vogel,,,,,,CDU/CSU,Ennepetal
411247,Katzer,,,,,,CDU/CSU,
411251,Katzer,,,,,,CDU/CSU,
411258,Lenz,,,Dr.,,,CDU/CSU,Bergstraße
411262,Katzer,,,,,,CDU/CSU,
411265,Wolfram,,,,,,SPD,Recklinghausen
411269,Dregger,,,Dr.,,,CDU/CSU,
411447,Strauß,,,,,,CDU/CSU,
411449,Wehner,,,,,,SPD,
411451,Wörner,,,Dr.,,,CDU/CSU,
411453,Marx,,,Dr.,,,CDU/CSU,
411457,Damm,,,,,,CDU/CSU,
