RB_ID,RB_Name,WAHLPERIODE,NR,DATUM,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
232495,Pferdmenges,4,04/1,17.10.1961,,Alterspräsident,Dr. h. c.,,,,
232496,Krappe,4,04/1,17.10.1961,,,,,,SPD,
232497,Pferdmenges,4,04/1,17.10.1961,,Alterspräsident,Dr. h. c.,,,,
232498,Krone,4,04/1,17.10.1961,,,Dr.,,,CDU/CSU,
232499,Pferdmenges,4,04/1,17.10.1961,,Alterspräsident,Dr. h. c.,,,,
232500,Pferdmenges,4,04/1,17.10.1961,,Alterspräsident,Dr. h. c.,,,,
232501,Gerstenmaier,4,04/1,17.10.1961,,,D. Dr.,,,CDU/CSU,
232502,Pferdmenges,4,04/1,17.10.1961,,Alterspräsident,Dr. h. c.,,,,
232503,Gerstenmaier,4,04/1,17.10.1961,,Präsident,D. Dr.,,,,
232504,Mommer,4,04/1,17.10.1961,,,Dr.,,,SPD,
232505,Gerstenmaier,4,04/1,17.10.1961,,Präsident,D. Dr.,,,,
232506,Men,4,04/1,17.10.1961,,,Dr.,de,,FDP,
232507,Gerstenmaier,4,04/1,17.10.1961,,Präsident,D. Dr.,,,,
232508,Gerstenmaier,4,04/2,07.11.1961,,Präsident,D. Dr.,,,,
232509,Gerstenmaier,4,04/2,07.11.1961,,Präsident,D. Dr.,,,,
232510,Adenauer,4,04/2,07.11.1961,,,Dr.,,,CDU/CSU,
232511,Gerstenmaier,4,04/2,07.11.1961,,Präsident,D. Dr.,,,,
232512,Gerstenmaier,4,04/3,08.11.1961,,Präsident,D. Dr.,,,,
232513,Gerstenmaier,4,04/3,08.11.1961,,Präsident,D. Dr.,,,,
232514,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232515,Adenauer,4,04/4,14.11.1961,Bundeskanzler,,Dr.,,,,
232516,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232517,Schröder,4,04/4,14.11.1961,Bundesminister des Auswärtigen,,Dr.,,,,
232518,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232519,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232520,Stammberger,4,04/4,14.11.1961,Bundesminister der Justiz,,Dr.,,,,
232521,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232522,Starke,4,04/4,14.11.1961,Bundesminister der Finanzen,,Dr.,,,,
232523,Cerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232524,Erhard,4,04/4,14.11.1961,Bundesminister für Wirtschaft,,Dr.,,,,
232525,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232526,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232527,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232528,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232529,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232530,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232531,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232532,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232533,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232534,Wuermeling,4,04/4,14.11.1961,Bundesminister für Familien- und Jugendfragen,,Dr.,,,,
232535,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232536,Merkatz,4,04/4,14.11.1961,Bundesminister für Angelegenheiten des Bundesrates und der Länder,,Dr.,von,,,
232537,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232538,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232539,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232540,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232541,Schwarzhaupt,4,04/4,14.11.1961,Bundesminister für Gesundheitswesen,,Dr.,,,,
232542,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232543,Krone,4,04/4,14.11.1961,Bundesminister für besondere Aufgaben,,Dr.,,,,
232544,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232545,Mommer,4,04/4,14.11.1961,,,Dr.,,,SPD,
232546,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232547,Rasner,4,04/4,14.11.1961,,,,,,CDU/CSU,
232548,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232549,Bucher,4,04/4,14.11.1961,,,Dr.,,,FDP,
232550,Rasner,4,04/4,14.11.1961,,,,,,,
232551,Gerstenmaier,4,04/4,14.11.1961,,Präsident,D. Dr.,,,,
232552,Gerstenmaier,4,04/5,29.11.1961,,Präsident,D. Dr.,,,,
232553,Erhard,4,04/5,29.11.1961,Stellvertreter des Bundeskanzlers,,Dr.,,,,
232554,Gerstenmaier,4,04/5,29.11.1961,,Präsident,D. Dr.,,,,
232555,Gerstenmaier,4,04/5,29.11.1961,,Präsident,D. Dr.,,,,
232556,Schellenberg,4,04/5,29.11.1961,,,Dr.,,,SPD,
232557,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232558,Spitzmüller,4,04/5,29.11.1961,,,,,,FDP,
232559,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232560,Ruf,4,04/5,29.11.1961,,,,,,CDU/CSU,
232561,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232562,Schellenberg,4,04/5,29.11.1961,,,Dr.,,,SPD,
232563,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232564,Weber,4,04/5,29.11.1961,,,,,,FDP,Georgenau
232565,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232566,Weber,4,04/5,29.11.1961,,,,,,FDP,Georgenau
232567,Schellenberg,4,04/5,29.11.1961,,,Dr.,,,SPD,
232568,Weber,4,04/5,29.11.1961,,,,,,FDP,Georgenau
232569,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232570,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232571,Schellenberg,4,04/5,29.11.1961,,,Dr.,,,SPD,
232572,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232573,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232574,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232575,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232576,Hübner,4,04/5,29.11.1961,,,,,,CDU/CSU,
232577,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232578,Hübner,4,04/5,29.11.1961,,,,,,CDU/CSU,
232579,Gscheidle,4,04/5,29.11.1961,,,,,,SPD,
232580,Willeke,4,04/5,29.11.1961,,,Dr.,,,,
232581,Hübner,4,04/5,29.11.1961,,,,,,CDU/CSU,
232582,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232583,Dorn,4,04/5,29.11.1961,,,,,,FDP,
232584,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232585,Schoettle,4,04/5,29.11.1961,,,,,,SPD,
232586,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232587,Schmid,4,04/5,29.11.1961,,Vizepräsident,Dr.,,,,
232588,Gerstenmaier,4,04/6,06.12.1961,,Präsident,D. Dr.,,,,
232589,Brandt,4,04/6,06.12.1961,,,,,,SPD,Berlin
232590,Barzel,4,04/6,06.12.1961,,,Dr.,,,,
232591,Gerstenmaier,4,04/6,06.12.1961,,Präsident,D. Dr.,,,,
232592,Mommer,4,04/6,06.12.1961,,,Dr.,,,SPD,
232593,Gerstenmaier,4,04/6,06.12.1961,,Präsident,D. Dr.,,,,
232594,Brentano,4,04/6,06.12.1961,,,Dr.,von,,CDU/CSU,
232595,Brandt,4,04/6,06.12.1961,,,,,,,Berlin
232596,Wehner,4,04/6,06.12.1961,,,,,,,
232598,Jaeger,4,04/6,06.12.1961,,Vizepräsident,Dr.,,,,
232599,Men,4,04/6,06.12.1961,,,Dr.,de,,FDP,
232600,Wehner,4,04/6,06.12.1961,,,,,,,
232601,Jaeger,4,04/6,06.12.1961,,Vizepräsident,Dr.,,,,
232602,Schoettle,4,04/6,06.12.1961,,Vizepräsident,,,,,
232603,Dollinger,4,04/6,06.12.1961,,,Dr.,,,CDU/CSU,
232604,Schoettle,4,04/6,06.12.1961,,Vizepräsident,,,,,
232605,Erler,4,04/6,06.12.1961,,,,,,SPD,
232606,Brentano,4,04/6,06.12.1961,,,Dr.,von,,,
232607,Mende,4,04/6,06.12.1961,,,Dr.,,,,
232608,Schoettle,4,04/6,06.12.1961,,Vizepräsident,,,,,
232609,Burgbacher,4,04/6,06.12.1961,,,Dr.,,,CDU/CSU,
232610,Erler,4,04/6,06.12.1961,,,,,,SPD,
232611,Mende,4,04/6,06.12.1961,,,,,,,
232612,Dehler,4,04/6,06.12.1961,,Vizepräsident,Dr.,,,,
232613,Döring,4,04/6,06.12.1961,,,,,,FDP,Düsseldorf
232614,Dehler,4,04/6,06.12.1961,,Vizepräsident,Dr.,,,,
232615,Döring,4,04/6,06.12.1961,,,,,,FDP,Düsseldorf
232616,Erler,4,04/6,06.12.1961,,,,,,SPD,
232617,Döring,4,04/6,06.12.1961,,,,,,FDP,Düsseldorf
232618,Dehler,4,04/6,06.12.1961,,Vizepräsident,Dr.,,,,
232619,Barzel,4,04/6,06.12.1961,,,Dr.,,,CDU/CSU,
232620,Dehler,4,04/6,06.12.1961,,Vizepräsident,Dr.,,,,
232621,Barzel,4,04/6,06.12.1961,,,Dr.,,,CDU/CSU,
232622,Erler,4,04/6,06.12.1961,,,,,,SPD,
232623,Barzel,4,04/6,06.12.1961,,,Dr.,,,CDU/CSU,
232624,Dehler,4,04/6,06.12.1961,,Vizepräsident,Dr.,,,,
232625,Barzel,4,04/6,06.12.1961,,,Dr.,,,CDU/CSU,
232626,Jahn,4,04/6,06.12.1961,,,,,,SPD,Marburg
232627,Barzel,4,04/6,06.12.1961,,,Dr.,,,CDU/CSU,
232628,Dehler,4,04/6,06.12.1961,,Vizepräsident,Dr.,,,,
232629,Atzenroth,4,04/6,06.12.1961,,,Dr.,,,FDP,
232630,Dehler,4,04/6,06.12.1961,,Vizepräsident,Dr.,,,,
232631,Gradl,4,04/6,06.12.1961,,,Dr.,,,CDU/CSU,
232632,Gerstenmaier,4,04/6,06.12.1961,,Präsident,D. Dr.,,,,
232633,Gradl,4,04/6,06.12.1961,,,Dr.,,,CDU/CSU,
232634,Wehner,4,04/6,06.12.1961,,,,,,SPD,
232635,Gradl,4,04/6,06.12.1961,,,Dr.,,,CDU/CSU,
232636,Gerstenmaier,4,04/6,06.12.1961,,Präsident,D. Dr.,,,,
232637,Ollenhauer,4,04/6,06.12.1961,,,,,,SPD,
232638,Barzel,4,04/6,06.12.1961,,,Dr.,,,CDU/CSU,
232639,Gerstenmaier,4,04/6,06.12.1961,,Präsident,D. Dr.,,,,
232640,Barzel,4,04/6,06.12.1961,,,Dr.,,,CDU/CSU,
232641,Ollenhauer,4,04/6,06.12.1961,,,,,,SPD,
232642,Gerstenmaier,4,04/6,06.12.1961,,Präsident,D. Dr.,,,,
232643,Fragestun,4,04/7,07.12.1961,,,,de,,,
232644,Schröder,4,04/7,07.12.1961,Bundesminister . . . 130 C Frage des  Lohmar,,Dr.,,,,
232645,Lohmar,4,04/7,07.12.1961,,,,,,SPD,
232646,Stammberger,4,04/7,07.12.1961,Bundesminister . 135 A Frage des  Dr. Arndt (Berlin),,Dr.,,,,
232647,Stammberger,4,04/7,07.12.1961,Bundesminister . 135 C Frage des  Dr. Kohut,,Dr.,,,,
232648,Börner,4,04/7,07.12.1961,,,,,,SPD,Düsseldorf
232649,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232650,Schröder,4,04/7,07.12.1961,Bundesminister des Auswärtigen,,Dr.,,,,
232651,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232652,Ritzel,4,04/7,07.12.1961,,,,,,SPD,
232653,Schröder,4,04/7,07.12.1961,Bundesminister des Auswärtigen,,Dr.,,,,
232654,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232655,Ritzel,4,04/7,07.12.1961,,,,,,SPD,
232656,Schröder,4,04/7,07.12.1961,Bundesminister des Auswärtigen,,Dr.,,,,
232657,Ritzel,4,04/7,07.12.1961,,,,,,SPD,
232658,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232659,Schröder,4,04/7,07.12.1961,Bundesminister des Auswärtigen,,Dr.,,,,
232660,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232661,Schröder,4,04/7,07.12.1961,Bundesminister des Auswärtigen,,Dr.,,,,
232662,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232663,Schröder,4,04/7,07.12.1961,Bundesminister des Auswärtigen,,Dr.,,,,
232664,Bucher,4,04/7,07.12.1961,,,Dr.,,,FDP,
232665,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232666,Bucher,4,04/7,07.12.1961,,,Dr.,,,FDP,
232667,Schröder,4,04/7,07.12.1961,Bundesminister des Auswärtigen,,Dr.,,,,
232668,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232669,Schröder,4,04/7,07.12.1961,Bundesminister deis Auswärtigen,,Dr.,,,,
232670,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232671,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232672,Lohmar,4,04/7,07.12.1961,,,,,,SPD,
232673,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232674,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232675,Lohmar,4,04/7,07.12.1961,,,,,,SPD,
232676,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232677,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232678,Renger,4,04/7,07.12.1961,,,,,,SPD,
232679,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232680,Renger,4,04/7,07.12.1961,,,,,,SPD,
232681,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232682,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232683,Büttner,4,04/7,07.12.1961,,,,,,SPD,
232684,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232685,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232686,Büttner,4,04/7,07.12.1961,,,,,,SPD,
232687,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232688,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232689,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232690,Ritzel,4,04/7,07.12.1961,,,,,,SPD,
232691,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232692,Ritzel,4,04/7,07.12.1961,,,,,,SPD,
232693,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232694,Schäfer,4,04/7,07.12.1961,,,Dr.,,,SPD,
232695,Schmitt-Vockenhausen,4,04/7,07.12.1961,,,,,,,Vockenhausen
232696,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232697,Wittrock,4,04/7,07.12.1961,,,,,,SPD,
232698,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232699,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232700,Kohut,4,04/7,07.12.1961,,,Dr.,,,FDP,
232701,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232702,Kohut,4,04/7,07.12.1961,,,Dr.,,,FDP,
232703,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232704,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232705,Schäfer,4,04/7,07.12.1961,,,Dr.,,,SPD,
232706,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232707,Bucher,4,04/7,07.12.1961,,,Dr.,,,FDP,
232708,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232709,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
232710,Stammberger,4,04/7,07.12.1961,Bundesminister der Justiz,,Dr.,,,,
232711,Jaeger,4,04/7,07.12.1961,,Vizepräsident,Dr.,,,,
