RB_ID,RB_Name,WAHLPERIODE,NR,DATUM,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
360351,Erhard,7,07/1,13.12.1972,,Alterspräsident,Dr.,,,,
360352,Erhard,7,07/1,13.12.1972,,Alterspräsident,Dr.,,,,
360353,Wehner,7,07/1,13.12.1972,,,,,,SPD,
360354,Erhard,7,07/1,13.12.1972,,Alterspräsident,Dr.,,,,
360355,Abgeordnete Renger,7,07/1,13.12.1972,ich frage Sie,,,,,,
360356,Renger,7,07/1,13.12.1972,,,,,,SPD,
360357,Erhard,7,07/1,13.12.1972,,Alterspräsident,Dr.,,,,
360358,Renger,7,07/1,13.12.1972,,Präsident,,,,,
360359,Renger,7,07/1,13.12.1972,,Präsident,,,,,
360360,Jaeger,7,07/1,13.12.1972,,,Dr.,,,CDU/CSU,
360361,Renger,7,07/1,13.12.1972,,Präsident,,,,,
360362,Schmitt-Vockenhausen,7,07/1,13.12.1972,,,Dr.,,,SPD,Vockenhausen
360363,Renger,7,07/1,13.12.1972,,Präsident,,,,,
360364,Funcke,7,07/1,13.12.1972,,,,,,FDP,
360365,Renger,7,07/1,13.12.1972,,Präsident,,,,,
360366,Renger,7,07/2,14.12.1972,,Präsident,,,,,
360367,Brandt,7,07/2,14.12.1972,,,,,,SPD,
360368,Renger,7,07/2,14.12.1972,,Präsident,,,,,
360369,Renger,7,07/3,14.12.1972,,Präsident,,,,,
360370,Renger,7,07/3,14.12.1972,,Präsident,,,,,
360371,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360372,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360373,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360374,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360375,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360376,Friderichs,7,07/4,15.12.1972,Bundesminister für Wirtschaft,,Dr.,,,,
360377,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360378,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360379,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360380,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360381,Focke,7,07/4,15.12.1972,"Bundesminister für Jugend, Familie und Gesundheit",,Dr.,,,,
360382,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360383,Lauritzen,7,07/4,15.12.1972,Bundesminister für Verkehr,,Dr.,,,,
360384,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360385,Vogel,7,07/4,15.12.1972,"Bundesminister für Raumordnung, Bauwesen und Städtebau",,Dr.,,,,
360386,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360387,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360388,Ehmke,7,07/4,15.12.1972,Bundesminister für Forschung und Technologie und für das Post- und Fernmeldewesen,,Dr.,,,,
360389,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360390,Dohnanyi,7,07/4,15.12.1972,Bundesminister für Bildung und Wissenschaft,,Dr.,von,,,
360391,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360392,Eppler,7,07/4,15.12.1972,Bundesminister für wirtschaftliche Zusammenarbeit,,Dr.,,,,
360393,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360394,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360395,Maihofer,7,07/4,15.12.1972,Bundesminister für besondere Aufgaben,,Dr.,,,,
360396,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360397,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360398,Barzel,7,07/4,15.12.1972,,,Dr.,,,CDU/CSU,
360399,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360400,Wagner,7,07/4,15.12.1972,,,,,,CDU/CSU,Günzburg
360401,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360402,Leicht,7,07/4,15.12.1972,,,,,,CDU/CSU,
360403,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360404,Haehser,7,07/4,15.12.1972,,,,,,SPD,
360405,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360406,Kirst,7,07/4,15.12.1972,,,,,,FDP,
360407,Jenninger,7,07/4,15.12.1972,,,Dr.,,,,
360408,Renger,7,07/4,15.12.1972,,Präsident,,,,,
360409,Wittmann,7,07/5,19.12.1972,,,Dr.,,,CDU/CSU,München
360410,Hansen,7,07/5,19.12.1972,,,,,,SPD,
360411,Funcke,7,07/5,19.12.1972,,Vizepräsident,,,,,
360412,Jenninger,7,07/5,19.12.1972,,,Dr.,,,CDU/CSU,
360413,Funcke,7,07/5,19.12.1972,,Vizepräsident,,,,,
360414,Bülow,7,07/5,19.12.1972,,,Dr.,von,,SPD,
360415,Jenninger,7,07/5,19.12.1972,,,Dr.,,,,
360416,Funke,7,07/5,19.12.1972,,Vizepräsident,,,,,
360417,Kirst,7,07/5,19.12.1972,,,,,,FDP,
360418,Funcke,7,07/5,19.12.1972,,Vizepräsident,,,,,
360419,Schellenberg,7,07/5,19.12.1972,,,Dr.,,,SPD,
360420,Funcke,7,07/5,19.12.1972,,Vizepräsident,,,,,
360421,Schellenberg,7,07/5,19.12.1972,,,Dr.,,,SPD,
360422,Franke,7,07/5,19.12.1972,,,,,,CDU/CSU,Osnabrück
360423,Schellenberg,7,07/5,19.12.1972,,,Dr.,,,SPD,
360424,Wohlrabe,7,07/5,19.12.1972,,,,,,,
360425,Funcke,7,07/5,19.12.1972,,Vizepräsident,,,,,
360426,Schellenberg,7,07/5,19.12.1972,,,Dr.,,,SPD,
360427,Franke,7,07/5,19.12.1972,,,,,,CDU/CSU,Osnabrück
360428,Schellenberg,7,07/5,19.12.1972,,,Dr.,,,SPD,
360429,Funcke,7,07/5,19.12.1972,,Vizepräsident,,,,,
360430,Schellenberg,7,07/5,19.12.1972,,,Dr.,,,SPD,
360431,Härzschel,7,07/5,19.12.1972,,,,,,CDU/CSU,
360432,Schellenberg,7,07/5,19.12.1972,,,Dr.,,,SPD,
360433,Funcke,7,07/5,19.12.1972,,Vizepräsident,,,,,
360434,Götz,7,07/5,19.12.1972,,,Dr.,,,CDU/CSU,
360435,Funcke,7,07/5,19.12.1972,,Vizepräsident,,,,,
