RB_ID,RB_Name,WAHLPERIODE,NR,DATUM,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
268633,Adenauer,5,05/1,19.10.1965,,,Alterspräsident,Dr.,,,,
268634,Götz,5,05/1,19.10.1965,,Schriftführer,,Dr.,,,,
268635,Adenauer,5,05/1,19.10.1965,,,Alterspräsident,Dr.,,,,
268636,Barzel,5,05/1,19.10.1965,,,,Dr.,,,CDU/CSU,
268637,Adenauer,5,05/1,19.10.1965,,,Alterspräsident,Dr.,,,,
268638,Adenauer,5,05/1,19.10.1965,,,Alterspräsident,Dr.,,,,
268639,Gerstenmaier,5,05/1,19.10.1965,,,,D. Dr.,,,CDU/CSU,
268640,Adenauer,5,05/1,19.10.1965,,,Alterspräsident,Dr.,,,,
268641,Gerstenmaier,5,05/1,19.10.1965,,,Präsident,D. Dr.,,,,
268642,Schmid,5,05/1,19.10.1965,,,,Dr.,,,,Frankfurt
268643,Gerstenmaier,5,05/1,19.10.1965,,,Präsident,D. Dr.,,,,
268644,Schoettle,5,05/1,19.10.1965,,,,,,,,
268645,Gerstenmaier,5,05/1,19.10.1965,,,Präsident,D. Dr.,,,,
268646,Jaeger,5,05/1,19.10.1965,,,,Dr.,,,,
268647,Gerstenmaier,5,05/1,19.10.1965,,,Präsident,D. Dr.,,,,
268648,Dehler,5,05/1,19.10.1965,,,,Dr.,,,,
268649,Gerstenmaier,5,05/1,19.10.1965,,,Präsident,D. Dr.,,,,
268650,Gerstenmaier,5,05/2,20.10.1965,,,Präsident,D. Dr.,,,,
268651,Gerstenmaier,5,05/2,20.10.1965,,,Präsident,D. Dr.,,,,
268652,Gerstenmaier,5,05/2,20.10.1965,,,Präsident,D. Dr.,,,,
268653,Erhard,5,05/2,20.10.1965,,,,Dr.,,,CDU/CSU,
268654,Gerstenmaier,5,05/2,20.10.1965,,,Präsident,D. Dr.,,,,
268655,Gerstenmaier,5,05/2,20.10.1965,,,Präsident,D. Dr.,,,,
268656,Erhard,5,05/2,20.10.1965,,Bundeskanzler,,Dr.,,,,
268657,Gerstenmaier,5,05/2,20.10.1965,,,Präsident,D. Dr.,,,,
268658,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268659,Schröder,5,05/3,26.10.1965,,Bundesminister des Auswärtigen,,Dr.,,,,
268660,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268661,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268662,Jaeger,5,05/3,26.10.1965,,Bundesminister der Justiz,,Dr.,,,,
268663,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268664,Dahlgrün,5,05/3,26.10.1965,,Bundesminister der Finanzen,,Dr.,,,,
268665,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268666,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268667,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268668,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268669,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268670,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268671,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268672,Bucher,5,05/3,26.10.1965,,Bundesminister für Wohnungswesen und Städtebau,,Dr.,,,,
268673,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268674,Gradl,5,05/3,26.10.1965,,"Bundesminister für Vertriebene, Flüchtlinge und Kriegsgeschädigte",,Dr.,,,,
268675,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268676,Mende,5,05/3,26.10.1965,,Bundesminister für gesamtdeutsche Fragen,,Dr.,,,,
268677,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268678,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268679,Heck,5,05/3,26.10.1965,,Bundesminister für Familie und Jugend,,Dr.,,,,
268680,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268681,Stoltenberg,5,05/3,26.10.1965,,Bundesminister für wissenschaftliche Forschung,,Dr.,,,,
268682,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268683,Dollinger,5,05/3,26.10.1965,,Bundesschatzminister,,Dr.,,,,
268684,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
268685,Gerstenmaier,5,05/3,26.10.1965,,,Präsident,D. Dr.,,,,
