RB_ID,RB_Name,WAHLPERIODE,NR,DATUM,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
410842,Erhard,8,08/1,14.12.1976,,,Alterspräsident,Dr.,,,,
410843,Kohl,8,08/1,14.12.1976,,,,Dr.,,,CDU/CSU,
410844,Erhard,8,08/1,14.12.1976,,,Alterspräsident,Dr.,,,,
410845,Carstens,8,08/1,14.12.1976,,,,,,,CDU/CSU,Fehmarn
410846,Erhard,8,08/1,14.12.1976,,,Alterspräsident,Dr.,,,,
410847,Carstens,8,08/1,14.12.1976,,,Präsident,,,,,
410848,Renger,8,08/1,14.12.1976,weiblich,,,,,,SPD,
410849,Carstens,8,08/1,14.12.1976,,,Präsident,,,,,
410850,Schmitt-Vockenhausen,8,08/1,14.12.1976,,,,Dr.,,,SPD,Vockenhausen
410851,Carstens,8,08/1,14.12.1976,,,Präsident,,,,,
410852,Stücklen,8,08/1,14.12.1976,,,,,,,CDU/CSU,
410853,Carstens,8,08/1,14.12.1976,,,Präsident,,,,,
410854,Funcke,8,08/1,14.12.1976,weiblich,,,,,,FDP,
410855,Carstens,8,08/1,14.12.1976,,,Präsident,,,,,
410856,Carstens,8,08/2,15.12.1976,,,Präsident,,,,,
410857,Schmidt,8,08/2,15.12.1976,,,,,,,SPD,Hamburg
410858,Carstens,8,08/2,15.12.1976,,,Präsident,,,,,
410859,Carstens,8,08/3,15.12.1976,,,Präsident,,,,,
410860,Carstens,8,08/3,15.12.1976,,,Präsident,,,,,
410861,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410862,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410863,Maihofer,8,08/4,16.12.1976,,Bundesminister des Innern,,Dr.,,,,
410864,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410865,Maihofer,8,08/4,16.12.1976,,Bundesminister des Innern,,Dr.,,,,
410866,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410867,Vogel,8,08/4,16.12.1976,,Bundesminister der Justiz,,Dr.,,,,
410868,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410869,Vogel,8,08/4,16.12.1976,,Bundesminister der Justiz,,Dr.,,,,
410870,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410871,Apel,8,08/4,16.12.1976,,Bundesminister der Finanzen,,Dr.,,,,
410872,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410873,Friderichs,8,08/4,16.12.1976,,Bundesminister für Wirtschaft,,Dr.,,,,
410874,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410875,Friderichs,8,08/4,16.12.1976,,Bundesminister für Wirtschaft,,Dr.,,,,
410876,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410877,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410878,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410879,Ehrenberg,8,08/4,16.12.1976,,Bundesminister für Arbeit und Sozialordnung,,Dr.,,,,
410880,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410881,Ehrenberg,8,08/4,16.12.1976,,Bundesminister für Arbeit und Sozialordnung,,Dr.,,,,
410882,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410883,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410884,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410885,Huber,8,08/4,16.12.1976,weiblich,"Bundesminister für Familie, Jugend und Gesundheit",,,,,,
410886,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410887,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410888,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410889,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410890,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410891,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410892,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410893,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410894,Schlei,8,08/4,16.12.1976,weiblich,Bundesminister für wirtschaftliche Zusammenarbeit,,,,,,
410895,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410896,Schlei,8,08/4,16.12.1976,weiblich,Bundesminister für wirtschaftliche Zusammenarbeit,,,,,,
410897,Carstens,8,08/4,16.12.1976,,,Präsident,,,,,
410898,Carstens,8,08/5,16.12.1976,,,Präsident,,,,,
410899,Carstens,8,08/5,16.12.1976,,,Präsident,,,,,
410900,Carstens,8,08/5,16.12.1976,,,Präsident,,,,,
410901,Carstens,8,08/6,17.12.1976,,,Präsident,,,,,
410902,Kohl,8,08/6,17.12.1976,,,,Dr.,,,CDU/CSU,
410903,Carstens,8,08/6,17.12.1976,,,Präsident,,,,,
410904,Kohl,8,08/6,17.12.1976,,,,Dr.,,,CDU/CSU,
410905,Carstens,8,08/6,17.12.1976,,,Präsident,,,,,
410906,Brandt,8,08/6,17.12.1976,,,,,,,SPD,
410908,Mertes,8,08/6,17.12.1976,,,,Dr.,,,CDU/CSU,Gerolstein
410909,Brandt,8,08/6,17.12.1976,,,,,,,SPD,
410910,Mertes,8,08/6,17.12.1976,,,,Dr.,,,CDU/CSU,Gerolstein
410911,Brandt,8,08/6,17.12.1976,,,,,,,SPD,
410912,Renger,8,08/6,17.12.1976,weiblich,,Vizepräsident,,,,,
