RB_ID,RB_Name,WAHLPERIODE,NR,DATUM,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
210766,Lüders,3,03/1,15.10.1957,weiblich,,Alterspräsidentin,Dr.,,,,
210767,Lüders,3,03/1,15.10.1957,weiblich,,Alterspräsidentin,Dr.,,,,
210768,Krone,3,03/1,15.10.1957,,,,Dr.,,,CDU/CSU,
210769,Lüders,3,03/1,15.10.1957,weiblich,,Alterspräsidentin,Dr.,,,,
210770,Gerstenmaier,3,03/1,15.10.1957,,,,D. Dr.,,,CDU/CSU,
210771,Lüders,3,03/1,15.10.1957,weiblich,,Alterspräsidentin,Dr.,,,,
210772,Lüders,3,03/1,15.10.1957,weiblich,,Alterspräsidentin,Dr.,,,,
210773,Gerstenmaier,3,03/1,15.10.1957,,,,D. Dr.,,,CDU/CSU,
210774,Lüders,3,03/1,15.10.1957,weiblich,,Alterspräsidentin,Dr.,,,,
210775,Gerstenmaier,3,03/1,15.10.1957,,,Präsident,D. Dr.,,,,
210776,Schmid,3,03/1,15.10.1957,,(Frankfurt) (SPD) ,,Dr.,,,,
210777,Gerstenmaier,3,03/1,15.10.1957,,,Präsident,D. Dr.,,,,
210778,Jaeger,3,03/1,15.10.1957,,,,Dr.,,,CDU/CSU,
210779,Gerstenmaier,3,03/1,15.10.1957,,,Präsident,D. Dr.,,,,
210780,Becker,3,03/1,15.10.1957,,,,Dr.,,,FDP,Hersfeld
210781,Gerstenmaier,3,03/1,15.10.1957,,,Präsident,D. Dr.,,,,
210782,Gerstenmaier,3,03/2,22.10.1957,,,Präsident,D. Dr.,,,,
210783,Gerstenmaier,3,03/2,22.10.1957,,,Präsident,D. Dr.,,,,
210784,Adenauer,3,03/2,22.10.1957,,,,Dr.,,,CDU/CSU,
210785,Gerstenmaier,3,03/2,22.10.1957,,,Präsident,D. Dr.,,,,
210786,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210787,Menzel,3,03/3,29.10.1957,,,,Dr.,,,,
210788,Adenauer,3,03/3,29.10.1957,,Bundeskanzler,,Dr.,,,,
210789,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210790,Brentano,3,03/3,29.10.1957,,Bundesminister des Auswärtigen,,Dr.,von,,,
210791,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210792,Schröder,3,03/3,29.10.1957,,Bundesminister des Innern,,Dr.,,,,
210793,Gerstenmaler,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210794,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210795,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210796,Erhard,3,03/3,29.10.1957,,Bundesminister für Wirtschaft,,Dr.,,,,
210797,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210798,Lübke,3,03/3,29.10.1957,,"Bundesminister für Ernährung, Landwirtschaft und Forsten",,Dr. h. c.,,,,
210799,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210800,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210801,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210802,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210803,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210804,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210805,Oberländer,3,03/3,29.10.1957,,"Bundesminister für Vertriebene, Flüchtlinge und Kriegsgeschädigte",,Dr.,,,,
210806,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210807,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210808,Merkatz,3,03/3,29.10.1957,,Bundesminister für Angelegenheiten des Bundesrates und der Länder,,Dr.,von,,,
210809,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210810,Wuermeling,3,03/3,29.10.1957,,Bundesminister für Familien- und Jugendfragen,,Dr.,,,,
210811,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210812,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210813,Lindrath,3,03/3,29.10.1957,,Bundesminister für den wirtschaftlichen Besitz des Bundes,,Dr.,,,,
210814,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210815,Adenauer,3,03/3,29.10.1957,,Bundeskanzler,,Dr.,,,,
210816,Gerstenmaier,3,03/3,29.10.1957,,,Präsident,D. Dr.,,,,
210817,Gerstenmaier,3,03/4,05.11.1957,,,Präsident,D. Dr.,,,,
210818,Krone,3,03/4,05.11.1957,,,,Dr.,,,CDU/CSU,
210821,Gerstenmaier,3,03/4,05.11.1957,,,Präsident,D. Dr.,,,,
210822,Ollenhauer,3,03/4,05.11.1957,,,,,,,SPD,
210824,Schmid,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210825,Becker,3,03/4,05.11.1957,,,,Dr.,,,FDP,Hersfeld
210826,Jaeger,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210827,Schneider,3,03/4,05.11.1957,,,,,,,DP,Bremerhaven
210828,Jaeger,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210829,Höcherl,3,03/4,05.11.1957,,,,,,,CDU/CSU,
210830,Deist,3,03/4,05.11.1957,,,,Dr.,,,SPD,
210831,Höcherl,3,03/4,05.11.1957,,,,,,,CDU/CSU,
210832,Jaeger,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210833,Adenauer,3,03/4,05.11.1957,,Bundeskanzler,,Dr.,,,,
210834,Becker,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210835,Erhard,3,03/4,05.11.1957,,Bundesminister für Wirtschaft,,Dr.,,,,
210836,Becker,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210837,Ollenhauer,3,03/4,05.11.1957,,,,,,,SPD,
210838,Hellwig,3,03/4,05.11.1957,,,,Dr.,,,,
210839,Becker,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210840,Hellwig,3,03/4,05.11.1957,,,,Dr.,,,CDU/CSU,
210841,Ollenhauer,3,03/4,05.11.1957,,,,,,,SPD,
210842,Becker,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210843,Adenauer,3,03/4,05.11.1957,,Bundeskanzler,,Dr.,,,,
210844,Erler,3,03/4,05.11.1957,,,,,,,,
210845,Becker,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210846,Adenauer,3,03/4,05.11.1957,,Bundeskanzler,,Dr.,,,,
210847,Becker,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210848,Adenauer,3,03/4,05.11.1957,,Bundeskanzler,,Dr.,,,,
210849,Becker,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210850,Deist,3,03/4,05.11.1957,,,,Dr.,,,SPD,
210851,Becker,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210852,Erhard,3,03/4,05.11.1957,,Bundesminister für Wirtschaft,,Dr.,,,,
210853,Becker,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210854,Erhard,3,03/4,05.11.1957,,Bundesminister für Wirtschaft,,Dr.,,,,
210855,Deist,3,03/4,05.11.1957,,,,Dr.,,,SPD,
210856,Erhard,3,03/4,05.11.1957,,Bundesminister für Wirtschaft,,Dr.,,,,
210857,Becker,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210858,Margulies,3,03/4,05.11.1957,,,,,,,FDP,
210859,Becker,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210860,Erler,3,03/4,05.11.1957,,,,,,,SPD,
210861,Becker,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210862,Adenauer,3,03/4,05.11.1957,,Bundeskanzler,,Dr.,,,,
210863,Schmid,3,03/4,05.11.1957,,,,Dr.,,,SPD,Frankfurt
210864,Adenauer,3,03/4,05.11.1957,,Bundeskanzler,,Dr.,,,,
210865,Becker,3,03/4,05.11.1957,,,Vizepräsident,Dr.,,,,
210866,Schmid,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210867,Bleiß,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210868,Schmid,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210869,Erhard,3,03/5,28.11.1957,,Bundesminister für Wirtschaft,,Dr.,,,,
210870,Schmid,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210871,Erhard,3,03/5,28.11.1957,,Bundesminister für Wirtschaft,,Dr.,,,,
210872,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210873,Erhard,3,03/5,28.11.1957,,Bundesminister für Wirtschaft,,Dr.,,,,
210874,Schmid,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210875,Achenbach,3,03/5,28.11.1957,,,,Dr.,,,FDP,
210876,Schmid,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210877,Preusker,3,03/5,28.11.1957,,,,Dr.,,,DP,
210878,Schmid,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210879,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210880,Preusker,3,03/5,28.11.1957,,,,Dr.,,,DP,
210881,Schmid,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210882,Conrad,3,03/5,28.11.1957,,,,,,,SPD,
210883,Preusker,3,03/5,28.11.1957,,,,Dr.,,,DP,
210884,Conrad,3,03/5,28.11.1957,,,,,,,SPD,
210885,Preusker,3,03/5,28.11.1957,,,,Dr.,,,DP,
210886,Schmid,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210887,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210888,Schmid,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210889,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210890,Hellwig,3,03/5,28.11.1957,,,,Dr.,,,CDU/CSU,
210891,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210892,Schmid,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210893,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210894,Hellwig,3,03/5,28.11.1957,,,,Dr.,,,CDU/CSU,
210895,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210896,Schmid,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210897,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210898,Preusker,3,03/5,28.11.1957,,,,Dr.,,,DP,
210899,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210900,Preusker,3,03/5,28.11.1957,,,,Dr.,,,DP,
210901,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210902,Jaeger,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210903,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210904,Hellwig,3,03/5,28.11.1957,,,,Dr.,,,CDU/CSU,
210905,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210906,Jaeger,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210907,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210908,Jaeger,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210909,Ruland,3,03/5,28.11.1957,,,,,,,CDU/CSU,
210910,Jaeger,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210911,Ruland,3,03/5,28.11.1957,,,,,,,CDU/CSU,
210912,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210913,Jaeger,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210914,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210915,Friedensburg,3,03/5,28.11.1957,,,,Dr.,,,CDU/CSU,
210916,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210917,Jaeger,3,03/5,28.11.1957,,,Vizepräsident,Dr.,,,,
210918,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
210919,Friedensburg,3,03/5,28.11.1957,,,,Dr.,,,CDU/CSU,
210920,Deist,3,03/5,28.11.1957,,,,Dr.,,,SPD,
