RB_ID,RB_Name,WAHLPERIODE,NR,DATUM,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
1,Brandt,10,10/1,29.03.1983,,Alterspräsident,,,,,
2,Stratmann,10,10/1,29.03.1983,,,,,,BÜNDNIS 90/DIE GRÜNEN,
3,Brandt,10,10/1,29.03.1983,,Alterspräsident,,,,,
4,Stratmann,10,10/1,29.03.1983,,,,,,BÜNDNIS 90/DIE GRÜNEN,
5,Brandt,10,10/1,29.03.1983,,Alterspräsident,,,,,
6,Schäuble,10,10/1,29.03.1983,,,Dr.,,,CDU/CSU,
7,Brandt,10,10/1,29.03.1983,,Alterspräsident,,,,,
8,Dregger,10,10/1,29.03.1983,,,Dr.,,,CDU/CSU,
9,Brandt,10,10/1,29.03.1983,,Alterspräsident,,,,,
10,Brandt,10,10/1,29.03.1983,,Alterspräsident,,,,,
11,Barzel,10,10/1,29.03.1983,,,Dr.,,,CDU/CSU,
12,Brandt,10,10/1,29.03.1983,,Alterspräsident,,,,,
13,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
14,Jahn,10,10/1,29.03.1983,,,,,,SPD,Marburg
15,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
16,Schäuble,10,10/1,29.03.1983,,,Dr.,,,CDU/CSU,
17,Vogel,10,10/1,29.03.1983,,,,,,SPD,
18,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
19,Schäuble,10,10/1,29.03.1983,,,Dr.,,,CDU/CSU,
20,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
21,Schoppe,10,10/1,29.03.1983,,,,,,BÜNDNIS 90/DIE GRÜNEN,
22,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
23,Wolfgramm,10,10/1,29.03.1983,,,,,,FDP,Göttingen
24,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
25,Porzner,10,10/1,29.03.1983,,,,,,SPD,
26,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
27,Burgmann,10,10/1,29.03.1983,,,,,,BÜNDNIS 90/DIE GRÜNEN,
28,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
29,Bötsch,10,10/1,29.03.1983,,,Dr.,,,CDU/CSU,
30,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
31,Hoss,10,10/1,29.03.1983,,,,,,BÜNDNIS 90/DIE GRÜNEN,
32,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
33,Hoss,10,10/1,29.03.1983,,,,,,BÜNDNIS 90/DIE GRÜNEN,
34,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
35,Hoss,10,10/1,29.03.1983,,,,,,BÜNDNIS 90/DIE GRÜNEN,
36,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
37,Hoss,10,10/1,29.03.1983,,,,,,BÜNDNIS 90/DIE GRÜNEN,
38,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
39,Porzner,10,10/1,29.03.1983,,,,,,SPD,
40,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
41,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
42,Renger,10,10/1,29.03.1983,,,,,,SPD,
43,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
44,Stücklen,10,10/1,29.03.1983,,,,,,CDU/CSU,
45,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
46,Westphal,10,10/1,29.03.1983,,,,,,SPD,
47,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
48,Wurbs,10,10/1,29.03.1983,,,,,,FDP,
49,Barzel,10,10/1,29.03.1983,,Präsident,Dr.,,,,
50,Barzel,10,10/2,29.03.1983,,Präsident,Dr.,,,,
51,Barzel,10,10/2,29.03.1983,,Präsident,Dr.,,,,
52,Kohl,10,10/2,29.03.1983,,,Dr.,,,CDU/CSU,
53,Barzel,10,10/2,29.03.1983,,Präsident,Dr.,,,,
54,Barzel,10,10/2,29.03.1983,,Präsident,Dr.,,,,
55,Kohl,10,10/2,29.03.1983,Bundeskanzler,,Dr.,,,,
56,Barzel,10,10/2,29.03.1983,,Präsident,Dr.,,,,
57,Kohl,10,10/2,29.03.1983,Bundeskanzler,,Dr.,,,,
58,Barzel,10,10/2,29.03.1983,,Präsident,Dr.,,,,
59,Barzel,10,10/3,30.03.1983,,Präsident,Dr.,,,,
60,Barzel,10,10/3,30.03.1983,,Präsident,Dr.,,,,
61,Barzel,10,10/3,30.03.1983,,Präsident,Dr.,,,,
62,Zimmermann,10,10/3,30.03.1983,Bundesminister des Innern,,Dr.,,,,
63,Barzel,10,10/3,30.03.1983,,Präsident,Dr.,,,,
64,Barzel,10,10/3,30.03.1983,,Präsident,Dr.,,,,
65,Stoltenberg,10,10/3,30.03.1983,Bundesminister der Finanzen,,Dr.,,,,
66,Barzel,10,10/3,30.03.1983,,Präsident,Dr.,,,,
67,Lambsdorff,10,10/3,30.03.1983,Bundesminister für Wirtschaft,,Dr.,,Graf,,
