RB_ID,RB_Name,WAHLPERIODE,NR,DATUM,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
112331,Brandt,12,12/1,20.12.1990,,Alterspräsident,,,,,
112332,Dregger,12,12/1,20.12.1990,,,Dr.,,,CDU/CSU,
112333,Brandt,12,12/1,20.12.1990,,Alterspräsident,,,,,
112334,Brandt,12,12/1,20.12.1990,,Alterspräsident,,,,,
112335,Süssmuth,12,12/1,20.12.1990,,,Dr.,,,,
112336,Brandt,12,12/1,20.12.1990,,Alterspräsident,,,,,
112337,Süssmuth,12,12/1,20.12.1990,,Präsidentin,Dr.,,,,
112338,Ullmann,12,12/1,20.12.1990,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,
112339,Süssmuth,12,12/1,20.12.1990,,Präsidentin,Dr.,,,,
112340,Ullmann,12,12/1,20.12.1990,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,
112341,Süssmuth,12,12/1,20.12.1990,,Präsidentin,Dr.,,,,
112342,Heuer,12,12/1,20.12.1990,,,Dr.,,,DIE LINKE.,
112343,Süssmuth,12,12/1,20.12.1990,,Präsidentin,Dr.,,,,
112344,Bohl,12,12/1,20.12.1990,,,,,,CDU/CSU,
112345,Süssmuth,12,12/1,20.12.1990,,Präsidentin,Dr.,,,,
112346,Struck,12,12/1,20.12.1990,,,Dr.,,,SPD,
112347,Süssmuth,12,12/1,20.12.1990,,Präsidentin,Dr.,,,,
112348,Wolfgramm,12,12/1,20.12.1990,,,,,,FDP,Göttingen
112349,Süssmuth,12,12/1,20.12.1990,,Präsidentin,Dr.,,,,
112350,Köppe,12,12/1,20.12.1990,,,,,,BÜNDNIS 90/DIE GRÜNEN,
112351,Süssmuth,12,12/1,20.12.1990,,Präsidentin,Dr.,,,,
112352,Süssmuth,12,12/1,20.12.1990,,Präsidentin,Dr.,,,,
112353,Becker,12,12/1,20.12.1990,,,,,,SPD,Nienberge
112354,Süssmuth,12,12/1,20.12.1990,,Präsidentin,Dr.,,,,
112355,Cronenberg,12,12/1,20.12.1990,,,,,,FDP,Arnsberg
112356,Süssmuth,12,12/1,20.12.1990,,Präsidentin,Dr.,,,,
112357,Klein,12,12/1,20.12.1990,,,,,,CDU/CSU,München
112358,Süssmuth,12,12/1,20.12.1990,,Präsidentin,Dr.,,,,
112359,Schmidt,12,12/1,20.12.1990,,,,,,SPD,Nürnberg
112360,Süssmuth,12,12/1,20.12.1990,,Präsidentin,Dr.,,,,
112361,Süssmuth,12,12/2,14.01.1991,,Präsidentin,Dr.,,,,
112362,Kohl,12,12/2,14.01.1991,Bundeskanzler,,Dr.,,,,
112363,Süssmuth,12,12/2,14.01.1991,,Präsidentin,Dr.,,,,
