RB_ID,RB_Name,WAHLPERIODE,NR,DATUM,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
58135,Brandt,11,11/1,18.02.1987,,,Alterspräsident,,,,,
58136,Olms,11,11/1,18.02.1987,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
58137,Brandt,11,11/1,18.02.1987,,,Alterspräsident,,,,,
58138,Olms,11,11/1,18.02.1987,weiblich,,,,,,BÜNDNIS 90/DIE GRÜNEN,
58139,Wolfgramm,11,11/1,18.02.1987,,,,,,,FDP,Göttingen
58140,Brandt,11,11/1,18.02.1987,,,Alterspräsident,,,,,
58141,Jahn,11,11/1,18.02.1987,,,,,,,SPD,Marburg
58142,Brandt,11,11/1,18.02.1987,,,Alterspräsident,,,,,
58143,Dregger,11,11/1,18.02.1987,,,,Dr.,,,CDU/CSU,
58144,Brandt,11,11/1,18.02.1987,,,Alterspräsident,,,,,
58145,Brandt,11,11/1,18.02.1987,,,Alterspräsident,,,,,
58146,Jenninger,11,11/1,18.02.1987,,,,Dr.,,,CDU/CSU,
58147,Brandt,11,11/1,18.02.1987,,,Alterspräsident,,,,,
58148,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58149,Kleinert,11,11/1,18.02.1987,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Marburg
58150,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58151,Seiters,11,11/1,18.02.1987,,,,,,,CDU/CSU,
58152,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58153,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58154,Wolfgramm,11,11/1,18.02.1987,,,,,,,FDP,Göttingen
58155,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58156,Vollmer,11,11/1,18.02.1987,weiblich,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,
58157,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58158,Seiters,11,11/1,18.02.1987,,,,,,,CDU/CSU,
58159,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58160,Schmude,11,11/1,18.02.1987,,,,Dr.,,,SPD,
58161,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58162,Wolfgramm,11,11/1,18.02.1987,,,,,,,FDP,Göttingen
58163,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58164,Wolfgramm,11,11/1,18.02.1987,,,,,,,FDP,Göttingen
58165,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58166,Wolfgramm,11,11/1,18.02.1987,,,,,,,FDP,Göttingen
58167,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58168,Jahn,11,11/1,18.02.1987,,,,,,,SPD,Marburg
58169,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58170,Kleinert,11,11/1,18.02.1987,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Marburg
58171,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58172,Seiters,11,11/1,18.02.1987,,,,,,,CDU/CSU,
58173,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58174,Renger,11,11/1,18.02.1987,weiblich,,,,,,SPD,
58175,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58176,Cronenberg,11,11/1,18.02.1987,,,,,,,FDP,Arnsberg
58177,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58178,Stücklen,11,11/1,18.02.1987,,,,,,,CDU/CSU,
58179,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58180,Westphal,11,11/1,18.02.1987,,,,,,,SPD,
58181,Jenninger,11,11/1,18.02.1987,,,Präsident,Dr.,,,,
58182,Jenninger,11,11/2,11.03.1987,,,Präsident,Dr.,,,,
58183,Jenninger,11,11/2,11.03.1987,,,Präsident,Dr.,,,,
58184,Kohl,11,11/2,11.03.1987,,,,Dr.,,,CDU/CSU,
58185,Jenninger,11,11/2,11.03.1987,,,Präsident,Dr.,,,,
58186,Jenninger,11,11/2,11.03.1987,,,Präsident,Dr.,,,,
58187,Kohl,11,11/2,11.03.1987,,Bundeskanzler,,Dr.,,,,
58188,Jenninger,11,11/2,11.03.1987,,,Präsident,Dr.,,,,
58189,Kohl,11,11/2,11.03.1987,,Bundeskanzler,,Dr.,,,,
58190,Jenninger,11,11/2,11.03.1987,,,Präsident,Dr.,,,,
58191,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58192,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58193,Zimmermann,11,11/3,12.03.1987,,Bundesminister des Innern,,Dr.,,,,
58194,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58195,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58196,Stoltenberg,11,11/3,12.03.1987,,Bundesminister der Finanzen,,Dr.,,,,
58197,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58198,Bangemann,11,11/3,12.03.1987,,Bundesminister für Wirtschaft,,Dr.,,,,
58199,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58200,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58201,Wilms,11,11/3,12.03.1987,weiblich,Bundesminister für innerdeutsche Beziehungen,,Dr.,,,,
58202,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58203,Blüm,11,11/3,12.03.1987,,Bundesminister für Arbeit und Sozialordnung,,Dr.,,,,
58204,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58205,Wörner,11,11/3,12.03.1987,,Bundesminister der Verteidigung,,Dr.,,,,
58206,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58207,Süssmuth,11,11/3,12.03.1987,weiblich,"Bundesminister für Jugend, Familie, Frauen und Gesundheit",,Dr.,,,,
58208,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58209,Warnke,11,11/3,12.03.1987,,Bundesminister für Verkehr,,Dr.,,,,
58210,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58211,Wallmann,11,11/3,12.03.1987,,"Bundesminister für Umwelt, Naturschutz und Reaktorsicherheit",,Dr.,,,,
58212,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58213,Schwarz-Schilling,11,11/3,12.03.1987,,Bundesminister für das Post- und Fernmeldewesen,,Dr.,,,,
58214,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58215,Schneider,11,11/3,12.03.1987,,"Bundesminister für Raumordnung, Bauwesen und Städtebau",,Dr.,,,,
58216,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58217,Riesenhuber,11,11/3,12.03.1987,,Bundesminister für Forschung und Technologie,,Dr.,,,,
58218,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58219,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58220,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58221,Schäuble,11,11/3,12.03.1987,,Bundesminister für besondere Aufgaben,,Dr.,,,,
58222,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58223,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58224,Kleinert,11,11/3,12.03.1987,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Marburg
58227,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58228,Jahn,11,11/3,12.03.1987,,,,,,,SPD,Marburg
58229,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
58230,Mechtersheimer,11,11/3,12.03.1987,,,,Dr.,,,BÜNDNIS 90/DIE GRÜNEN,
58231,Jenninger,11,11/3,12.03.1987,,,Präsident,Dr.,,,,
